QA_ID,법률분류,질문,답변,출처유형
QA_0001,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅰ.개시결정,개시결정이 내려지면 채무자에게는 어떤 효과가 있나요?,"○ 채무자에 대한 파산절차는 중지 또는 금지됩니다. ○ 개인회생재단에 속하는 재산에 대한 담보권의 설정, 담보권 실행 등을 위한 경매는 중지 또는 금지됩니다. 다만 변제계획 인가결정일 또는 개인회생절차 폐지결정 확정일 중 먼저 도래하는 날까지로 제한됩니다.  ○ 개인회생채권자목록에 기재된 개인회생채권에 기하여 개인회생재단에 속하는 재산에 대하여 행하는 강제집행?가압류?가처분, 체납처분 등은 중지 또는 금지됩니다. ○ 개인회생채권자목록에 기재된 개인회생채권에 대하여 변제받거나 변제를 요구하는 일체의 행위는 금지됩니다. 그러나 개인회생재단채권이나 개인회생채권자목록에 기재되지 않은 개인회생채권은 변제가 금지되지 않으므로 유의하여야 합니다.",기본질문답변
QA_0002,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅰ.개시결정,개인회생절차 개시결정 당시 이미 개인회생채권자목록에 기재된 채권에 대하여 소송이 계속 중인 경우 위 개시결정이 소송절차에 어떤 영향을 미치는지,"개인회생절차 개시결정이 있더라도 채권자목록에 기재된 채권에 의한 소송행위는 중단되지 않습니다.(법 제600조 제1항 제3호) 다만 채권자목록에 기재된 채권에 대해 이의가 없는 경우에는 소의 이익이 없어 각하될 것이고, 이의가 있는 경우에는 청구취지를 개인회생채권의 존부와 내용의 확정을 구하는 형태로 변경하여야 할 것입니다. 또한 채권자취소소송의 경우는 개인회생절차 개시결정 전 소송이 제기된 경우에는 채무자의 소송수계 내지 개인회생절차의 종료시까지 소송절차는 중단(법584조 제1항, 406조 제1항)되며, 개인회생절차 개시결정 이후에는 채권자취소소송 제기는 불가(대법원 2010. 9. 9.선고 2010다37141 판결 참조)합니다.",기본질문답변
QA_0003,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅰ.개시결정,개인회생절차개시결정과 강제집행의 중지·금지,"개인회생절차개시결정이 있는 때에는 개인회생채권자목록에 기재된 개인회생채권에 기하여 개인회생재단에 속하는 재산에 대해 이미 절차가 진행 중인 강제집행·가압류 또는 가처분은 중단되고, 새로이 강제집행·가압류 또는 가처분을 하는 것이 금지됩니다",기본질문답변
QA_0004,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅰ.개시결정,개인회생절차개시결정이 있는 때에 중지되는 절차,"개인회생절차개시결정이 있는 경우, 채무자에 대한 회생절차 또는 파산절차, 개인회생채권에 기하여 개인회생재단에 속하는 재산에 대하여 한 강제집행ㆍ가압류 또는 가처분, 개인회생채권을 변제받거나 변제를 요구하는 일체의 행위 등이 중지됩니다. (법 제600조)",기본질문답변
QA_0005,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅱ.개시기각결정,개인회생절차개시신청을 하면 반드시 개시결정이 내려지나요?,"○ 채무자에게 다음과 같은 사유가 있는 경우에는 개인회생절차개시신청이 기각될 수 있습니다. 이러한 사유가 없으면 원칙적으로 개시결정이 내려지게 됩니다.    (1) 채무자가 신청권자의 자격을 갖추지 아니한 때    (2)  채무자가 신청시에 반드시 제출하여야 할 서류를 제출하지 아니하거나, 허위로 작성하여 제출하거나 또는 법원이 정한 제출기한을 준수하지 아니한 때    (3) 채무자가 절차의 비용을 납부하지 아니한 때    (4) 채무자가 변제계획안의 제출기한을 준수하지 아니한 때    (5) 채무자가 신청일 전 5년 이내에 면책(파산절차에 의한 면책을 포함)을  받은 사실이 있는 때    (6) 개인회생절차에 의함이 채권자 일반의 이익에 적합하지 아니한 때    (7) 그밖에 신청이 성실하지 아니하거나 상당한 이유 없이 절차를 지연시키는 때",기본질문답변
QA_0006,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅱ.개시기각결정,개인회생절차개시신청의 기각사유,"1. 채무자가 신청권자의 자격을 갖추지 아니한 때 2. 채무자가 제589조제2항 각호의 어느 하나에 해당하는 서류를 제출하지 아니하거나, 허위로 작성하여 제출하거나 또는 법원이 정한 제출기한을 준수하지 아니한 때 3. 채무자가 절차의 비용을 납부하지 아니한 때 4. 채무자가 변제계획안의 제출기한을 준수하지 아니한 때 5. 채무자가 신청일 전 5년 이내에 면책(파산절차에 의한 면책을 포함한다)을 받은 사실이 있는 때 6. 개인회생절차에 의함이 채권자 일반의 이익에 적합하지 아니한 때 7. 그 밖에 신청이 성실하지 아니하거나 상당한 이유 없이 절차를 지연시키는 때에 해당하는 경우 기각될 수 있습니다.",기본질문답변
QA_0007,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅱ.개시기각결정,회생절차 개시결정 기각사유,법원은 법 제42조 각 호의 기각사유가 없는 한 회생절차의 개시결정과 동시에 관리인을 선임하고 법 제50조 각 호의 사항을 정하여야합니다. 즉 과거와 같이 절차개시가 필요하다고 판단되는 경우에 한하여 절차개시 결정을 하는 것이 아니고 절차개시에 장애가 되는 기각사유가 없는 한 필요적으로 절차개시결정을 하여야 하는 것입니다. 여기서 기각사유란 1. 회생절차의 비용을 미리 납부하지 않은 경우 2. 회생절차개시 신청이 성실하지 않은 경우 3. 그 밖에 회생절차에 의함이 채권자 일반의 이익에 적합하지 아니한경우를 말합니다.,기본질문답변
QA_0008,개인회생>개시결정및채권자이의등>개시(기각)결정및효력>Ⅱ.개시기각결정,회생절차개시신청의 기각사유,"법원은 1. 회생절차의 비용을 미리 납부하지 아니한 경우, 2. 회생절차개시신청이 성실하지 아니한 경우, 3. 그 밖에 회생절차에 의함이 채권자 일반의 이익에 적합하지 아니한 경우 회생절차개시의 신청을 기각하여야 합니다.",기본질문답변
QA_0009,개인회생>개시결정및채권자이의등>개시(기각)결정에대한불복방법>Ⅰ.개인회생절차개시결정에대한불복방법,회생절차개시신청에 관한 재판에 대한 즉시항고,즉시항고를 할 수 있습니다.,기본질문답변
QA_0010,개인회생>개시결정및채권자이의등>개시(기각)결정에대한불복방법>Ⅱ.개인회생개시신청기각결정에대한불복방법,개인회생절차 개시신청이 기각된 경우 불복방법이 있나요?,개인회생개시신청 기각결정에 대해서 즉시항고를 할 수 있습니다.,기본질문답변
